#Biotype
#   PSSD  - processed pseudogene
#   DUP    - duplicated pseudogene
#   FRAG  - ambiguous pseudogene
#
#Activity features
#    Tnx - transcription
#    Pol2 - polymerase 2 binding sites
#    AC - active chromatin
#    TF - transcription factor binding sites
#
#Activity test result:
#    0 - no activity feature
#    1 - the activity feature is present
#
#
#Pseudogene_id		Biotype	Parent_gene		Parent_transcript	Activity_features
ENST00000344844.3	DUP	ENSG00000237521.1	ENST00000456448.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000359901.3	DUP	.			.			Tnx_1:Pol2_1:AC_1:TF_1
ENST00000459808.1	PSSD	ENSG00000198075.5	ENST00000272452.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000422550.1	PSSD	ENSG00000123569.7	ENST00000217926.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000455804.1	PSSD	ENSG00000067225.10	ENST00000335181.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000462177.1	PSSD	ENSG00000155329.7	ENST00000324170.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000507834.2	PSSD	.			.			Tnx_0:Pol2_0:AC_1:TF_0
ENST00000437852.1	PSSD	ENSG00000071994.6	ENST00000541970.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418672.1	PSSD	ENSG00000157765.7	ENST00000382051.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000416129.1	PSSD	ENSG00000128340.10	ENST00000249071.6	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000529327.1	PSSD	ENSG00000172362.2	ENST00000302572.2	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000415445.1	PSSD	ENSG00000065518.7	ENST00000485064.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000418303.1	PSSD	ENSG00000131462.2	ENST00000251413.2	Tnx_1:Pol2_0:AC_0:TF_0
ENST00000514691.1	PSSD	ENSG00000151470.7	ENST00000281146.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000506640.1	DUP	.			.			Tnx_0:Pol2_0:AC_0:TF_0
ENST00000525084.1	DUP	ENSG00000185926.1	ENST00000328188.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000492018.1	PSSD	ENSG00000167797.3	ENST00000301488.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000452007.1	DUP	.			.			Tnx_0:Pol2_0:AC_1:TF_0
ENST00000450258.1	PSSD	.			.			Tnx_1:Pol2_0:AC_1:TF_0
ENST00000476476.1	PSSD	ENSG00000198830.6	ENST00000361427.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000510539.1	PSSD	ENSG00000178996.8	ENST00000326277.3	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000436045.1	DUP	.			.			Tnx_0:Pol2_0:AC_1:TF_0
ENST00000444542.1	PSSD	.			.			Tnx_0:Pol2_0:AC_0:TF_0
ENST00000429207.1	PSSD	ENSG00000178104.13	ENST00000313382.9	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000433403.1	PSSD	ENSG00000126432.9	ENST00000265462.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000466210.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000397726.2	PSSD	ENSG00000110367.5	ENST00000264018.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000450781.1	DUP	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000392399.3	PSSD	ENSG00000170315.6	ENST00000302182.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000515648.1	DUP	ENSG00000172967.7	ENST00000331428.5	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000445194.2	PSSD	ENSG00000108465.8	ENST00000536708.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000545950.1	DUP	ENSG00000235268.2	ENST00000450979.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000472671.1	DUP	ENSG00000196981.2	ENST00000330689.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000393978.2	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421395.1	PSSD	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000427163.1	PSSD	ENSG00000197601.7	ENST00000354817.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000454627.1	PSSD	ENSG00000135940.2	ENST00000258424.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000445629.1	PSSD	ENSG00000134825.8	ENST00000543510.1	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000527244.1	DUP	ENSG00000170683.5	ENST00000360759.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000426103.1	PSSD	ENSG00000168028.8	ENST00000301821.5	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503783.1	PSSD	ENSG00000170191.4	ENST00000304788.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000445213.1	PSSD	ENSG00000101182.10	ENST00000442551.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000421857.1	PSSD	ENSG00000004478.5	ENST00000001008.4	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000434793.1	DUP	ENSG00000186207.4	ENST00000334269.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000406724.1	DUP	.	.	Tnx_1:Pol2_1:AC_1:TF_1
ENST00000492925.1	PSSD	ENSG00000198242.7	ENST00000422514.2	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000483483.1	PSSD	.	.	Tnx_0:Pol2_0:AC_0:TF_0
ENST00000405355.1	PSSD	ENSG00000105372.1	ENST00000221975.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000411807.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000455489.1	DUP	.	.	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000420064.1	PSSD	ENSG00000156508.12	ENST00000331523.2	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000446218.1	PSSD	ENSG00000162694.9	ENST00000370113.3	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000503863.1	PSSD	ENSG00000025796.8	ENST00000369002.4	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000439895.1	PSSD	ENSG00000130707.11	ENST00000372394.1	Tnx_0:Pol2_0:AC_1:TF_0
ENST00000424783.1	PSSD	ENSG00000108055.9	ENST00000361804.4	Tnx_1:Pol2_0:AC_1:TF_0
ENST00000504438.1	DUP	ENSG00000188612.6	ENST00000420826.1	Tnx_0:Pol2_0:AC_1:TF_0
