PseudoPipeID	EnsemblID.version	EnsemblID
PGOHUM00000297503	ENST00000444246.1	ENST00000444246
PGOHUM00000299687	ENST00000306399.3	ENST00000306399
PGOHUM00000297221	ENST00000433427.1	ENST00000433427
PGOHUM00000295754	ENST00000452808.1	ENST00000452808
PGOHUM00000298550	ENST00000421872.1	ENST00000421872
PGOHUM00000305609	ENST00000427677.1	ENST00000427677
PGOHUM00000292638	ENST00000554380.1	ENST00000554380
PGOHUM00000303777	ENST00000445117.2	ENST00000445117
PGOHUM00000301961	ENST00000404229.1	ENST00000404229
PGOHUM00000303528	ENST00000517972.1	ENST00000517972
PGOHUM00000303863	ENST00000435875.1	ENST00000435875
PGOHUM00000300875	ENST00000505520.1	ENST00000505520
PGOHUM00000291376	ENST00000553036.1	ENST00000553036
PGOHUM00000290498	ENST00000532955.1	ENST00000532955
PGOHUM00000290865	ENST00000527476.1	ENST00000527476
PGOHUM00000295113	ENST00000434269.1	ENST00000434269
PGOHUM00000303532	ENST00000509929.3	ENST00000509929
PGOHUM00000301777	ENST00000407266.1	ENST00000407266
PGOHUM00000298057	ENST00000458090.1	ENST00000458090
PGOHUM00000295488	ENST00000598702.1	ENST00000598702
PGOHUM00000302409	ENST00000434514.1	ENST00000434514
PGOHUM00000304920	ENST00000415978.2	ENST00000415978
PGOHUM00000299547	ENST00000467756.1	ENST00000467756
PGOHUM00000302089	ENST00000438721.1	ENST00000438721
PGOHUM00000303948	ENST00000344739.5	ENST00000344739
PGOHUM00000297436	ENST00000458718.2	ENST00000458718
PGOHUM00000290852	ENST00000526444.1	ENST00000526444
PGOHUM00000298836	ENST00000440828.1	ENST00000440828
PGOHUM00000291324	ENST00000463559.1	ENST00000463559
PGOHUM00000300522	ENST00000502634.1	ENST00000502634
PGOHUM00000289957	ENST00000442978.1	ENST00000442978
PGOHUM00000305714	ENST00000447168.1	ENST00000447168
PGOHUM00000289844	ENST00000399571.2	ENST00000399571
PGOHUM00000305020	ENST00000342691.5	ENST00000342691
PGOHUM00000291788	ENST00000548397.1	ENST00000548397
PGOHUM00000301315	ENST00000445732.1	ENST00000445732
PGOHUM00000299504	ENST00000512021.1	ENST00000512021
PGOHUM00000294447	ENST00000464237.2	ENST00000464237
PGOHUM00000291129	ENST00000481955.1	ENST00000481955
PGOHUM00000298544	ENST00000445594.1	ENST00000445594
PGOHUM00000303300	ENST00000509735.1	ENST00000509735
PGOHUM00000293768	ENST00000622398.1	ENST00000622398
PGOHUM00000290371	ENST00000412287.1	ENST00000412287
PGOHUM00000301430	ENST00000421830.1	ENST00000421830
PGOHUM00000302303	ENST00000438382.2	ENST00000438382
PGOHUM00000303545	ENST00000611767.1	ENST00000611767
PGOHUM00000292592	ENST00000616788.1	ENST00000616788
PGOHUM00000297340	ENST00000311003.6	ENST00000311003
PGOHUM00000299808	ENST00000512950.2	ENST00000512950
PGOHUM00000291877	ENST00000458378.1	ENST00000458378
PGOHUM00000302351	ENST00000437728.1	ENST00000437728
PGOHUM00000291600	ENST00000550612.1	ENST00000550612
PGOHUM00000298961	ENST00000419017.1	ENST00000419017
PGOHUM00000300001	ENST00000503089.1	ENST00000503089
PGOHUM00000294499	ENST00000605540.1	ENST00000605540
PGOHUM00000301439	ENST00000573303.1	ENST00000573303
PGOHUM00000301702	ENST00000613415.1	ENST00000613415
PGOHUM00000302900	ENST00000605636.1	ENST00000605636
PGOHUM00000295651	ENST00000447970.1	ENST00000447970
PGOHUM00000305218	ENST00000620830.1	ENST00000620830
PGOHUM00000296766	ENST00000425245.1	ENST00000425245
PGOHUM00000290898	ENST00000527255.1	ENST00000527255
