#Pseudogene_id	Biotype	Parent_gene	Parent_transcript	Activity_features	PseudoPipeID	EnsemblID	Gene stable ID	Gene stable ID version	Transcript stable ID version	Pfam ID	Protein stable ID	Protein stable ID version
ENST00000359901.3	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000406724.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000404404.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000453917.1	PSSD	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000448968.2	PSSD	.		Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000291220	ENST00000448968	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000442856.1	DUP	ENSG00000124334.10	ENST00000424344	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000293387	ENST00000442856	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000423686.1	DUP	ENSG00000102738.6	ENST00000323563	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000291964	ENST00000423686	ENSG00000102738	ENSG00000102738.8	ENST00000323563.8	PF15433	ENSP00000315397	ENSP00000315397.6
ENST00000418695.1	PSSD	ENSG00000165672.5	ENST00000298510	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297538	ENST00000418695	ENSG00000165672	ENSG00000165672.7	ENST00000298510.4	PF00578	ENSP00000298510	ENSP00000298510.2
ENST00000418695.1	PSSD	ENSG00000165672.5	ENST00000298510	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297538	ENST00000418695	ENSG00000165672	ENSG00000165672.7	ENST00000298510.4	PF10417	ENSP00000298510	ENSP00000298510.2
ENST00000440965.1	PSSD	ENSG00000178035.6	ENST00000326739	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000178035	ENSG00000178035.12	ENST00000326739.9	PF00478	ENSP00000321584	ENSP00000321584.4
ENST00000440965.1	PSSD	ENSG00000178035.6	ENST00000326739	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000178035	ENSG00000178035.12	ENST00000326739.9	PF00571	ENSP00000321584	ENSP00000321584.4
ENST00000426077.1	PSSD	ENSG00000155984.8	ENST00000316916	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000435868.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297497	ENST00000435868	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000413346.1	PSSD	ENSG00000063978.10	ENST00000511600	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296813	ENST00000413346	ENSG00000063978	ENSG00000063978.16	ENST00000511600.5	PF13639	ENSP00000426503	ENSP00000426503.1
ENST00000433548.1	PSSD	ENSG00000196262.8	ENST00000489459	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298375	ENST00000433548	ENSG00000196262	ENSG00000196262.14	ENST00000489459.5	PF00160	ENSP00000427976	ENSP00000427976.1
ENST00000319092.5	PSSD	ENSG00000205531.6	ENST00000380542	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295801	ENST00000319092	ENSG00000205531	ENSG00000205531.13	ENST00000380542.9	PF00956	ENSP00000369915	ENSP00000369915.4
ENST00000465689.1	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298351	ENST00000465689	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF01431	ENSP00000302051	ENSP00000302051.1
ENST00000465689.1	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298351	ENST00000465689	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF05649	ENSP00000302051	ENSP00000302051.1
ENST00000474389.1	PSSD	ENSG00000123983.9	ENST00000357430	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000299600	ENST00000474389	ENSG00000123983	ENSG00000123983.14	ENST00000357430.8	PF00501	ENSP00000350012	ENSP00000350012.3
ENST00000295493.3	PSSD	ENSG00000023734.6	ENST00000419869	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000023734	ENSG00000023734.11	ENST00000419869.7	PF00400	ENSP00000392270	ENSP00000392270.2
ENST00000420084.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000432033.1	PSSD	ENSG00000147853.10	ENST00000381809	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290091	ENST00000432033	ENSG00000147853	ENSG00000147853.17	ENST00000381809.8	PF05191	ENSP00000371230	ENSP00000371230.3
ENST00000432033.1	PSSD	ENSG00000147853.10	ENST00000381809	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290091	ENST00000432033	ENSG00000147853	ENSG00000147853.17	ENST00000381809.8	PF00406	ENSP00000371230	ENSP00000371230.3
ENST00000447235.1	PSSD	ENSG00000137285.7	ENST00000259818	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303757	ENST00000447235	ENSG00000137285	ENSG00000137285.10	ENST00000259818.8	PF03953	ENSP00000259818	ENSP00000259818.6
ENST00000447235.1	PSSD	ENSG00000137285.7	ENST00000259818	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303757	ENST00000447235	ENSG00000137285	ENSG00000137285.10	ENST00000259818.8	PF00091	ENSP00000259818	ENSP00000259818.6
ENST00000538078.1	PSSD	ENSG00000196199.7	ENST00000414242	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000291196	ENST00000538078	ENSG00000196199	ENSG00000196199.14	ENST00000414242.3	N/A	ENSP00000414663	ENSP00000414663.3
ENST00000431037.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000524828.1	PSSD	ENSG00000117154.6	ENST00000251296	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000291066	ENST00000524828	ENSG00000117154	ENSG00000117154.12	ENST00000251296.4	PF07686	ENSP00000251296	ENSP00000251296.1
ENST00000421426.1	PSSD	ENSG00000135486.10	ENST00000330752	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290144	ENST00000421426	ENSG00000135486	ENSG00000135486.18	ENST00000330752.12	PF11627	ENSP00000333504	ENSP00000333504.8
ENST00000421426.1	PSSD	ENSG00000135486.10	ENST00000330752	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290144	ENST00000421426	ENSG00000135486	ENSG00000135486.18	ENST00000330752.12	PF00076	ENSP00000333504	ENSP00000333504.8
ENST00000438210.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296292	ENST00000438210	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
ENST00000438210.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296292	ENST00000438210	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
ENST00000478788.1	PSSD	ENSG00000120705.7	ENST00000360541	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303027	ENST00000478788	ENSG00000120705	ENSG00000120705.13	ENST00000360541.10	PF03465	ENSP00000353741	ENSP00000353741.5
ENST00000478788.1	PSSD	ENSG00000120705.7	ENST00000360541	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303027	ENST00000478788	ENSG00000120705	ENSG00000120705.13	ENST00000360541.10	PF03463	ENSP00000353741	ENSP00000353741.5
ENST00000478788.1	PSSD	ENSG00000120705.7	ENST00000360541	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303027	ENST00000478788	ENSG00000120705	ENSG00000120705.13	ENST00000360541.10	PF03464	ENSP00000353741	ENSP00000353741.5
ENST00000440087.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000427912.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000447117.1	PSSD	ENSG00000171862.5	ENST00000371953	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000310569	ENST00000447117	ENSG00000171862	ENSG00000171862.11	ENST00000371953.8	PF10409	ENSP00000361021	ENSP00000361021.3
ENST00000447117.1	PSSD	ENSG00000171862.5	ENST00000371953	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000310569	ENST00000447117	ENSG00000171862	ENSG00000171862.11	ENST00000371953.8	PF00782	ENSP00000361021	ENSP00000361021.3
ENST00000433329.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290369	ENST00000433329	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000448870.1	PSSD	ENSG00000196262.8	ENST00000468812	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290347	ENST00000448870	ENSG00000196262	ENSG00000196262.14	ENST00000468812.6	PF00160	ENSP00000419425	ENSP00000419425.1
ENST00000422884.1	PSSD	ENSG00000184545.6	ENST00000397374	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290205	ENST00000422884	ENSG00000184545	ENSG00000184545.11	ENST00000397374.8	PF00581	ENSP00000380530	ENSP00000380530.3
ENST00000422884.1	PSSD	ENSG00000184545.6	ENST00000397374	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000290205	ENST00000422884	ENSG00000184545	ENSG00000184545.11	ENST00000397374.8	PF00782	ENSP00000380530	ENSP00000380530.3
ENST00000456516.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000289968	ENST00000456516	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
ENST00000456516.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000289968	ENST00000456516	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
ENST00000508125.1	PSSD	ENSG00000170421.5	ENST00000293308	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000300736	ENST00000508125	ENSG00000170421	ENSG00000170421.12	ENST00000293308.11	PF00038	ENSP00000293308	ENSP00000293308.6
ENST00000508125.1	PSSD	ENSG00000170421.5	ENST00000293308	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000300736	ENST00000508125	ENSG00000170421	ENSG00000170421.12	ENST00000293308.11	PF16208	ENSP00000293308	ENSP00000293308.6
ENST00000430151.1	DUP	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000422311.1	PSSD	ENSG00000151247.8	ENST00000450253	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000297042	ENST00000422311	ENSG00000151247	ENSG00000151247.12	ENST00000450253.6	PF01652	ENSP00000389624	ENSP00000389624.2
ENST00000440028.1	PSSD	ENSG00000005302.12	ENST00000312196	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000005302	ENSG00000005302.19	ENST00000312196.10	PF11717	ENSP00000312244	ENSP00000312244.4
ENST00000440028.1	PSSD	ENSG00000005302.12	ENST00000312196	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000005302	ENSG00000005302.19	ENST00000312196.10	PF05712	ENSP00000312244	ENSP00000312244.4
ENST00000530891.2	DUP	ENSG00000235109.3	ENST00000439636	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000235109	ENSG00000235109.7	ENST00000439636.5	PF02023	ENSP00000412519	ENSP00000412519.1
ENST00000432698.1	PSSD	ENSG00000162517.8	ENST00000373703	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296021	ENST00000432698	ENSG00000162517	ENSG00000162517.13	ENST00000373703.5	PF13405	ENSP00000362807	ENSP00000362807.4
ENST00000432698.1	PSSD	ENSG00000162517.8	ENST00000373703	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296021	ENST00000432698	ENSG00000162517	ENSG00000162517.13	ENST00000373703.5	PF13499	ENSP00000362807	ENSP00000362807.4
ENST00000475062.1	PSSD	ENSG00000241343.2	ENST00000427805	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000293263	ENST00000475062	ENSG00000241343	ENSG00000241343.10	ENST00000427805.6	PF00935	ENSP00000404375	ENSP00000404375.2
ENST00000430852.1	PSSD	ENSG00000197958.8	ENST00000361436	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000197958	ENSG00000197958.13	ENST00000361436.10	PF03946	ENSP00000354739	ENSP00000354739.5
ENST00000430852.1	PSSD	ENSG00000197958.8	ENST00000361436	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000197958	ENSG00000197958.13	ENST00000361436.10	PF00298	ENSP00000354739	ENSP00000354739.5
ENST00000442868.1	DUP	ENSG00000075886.9	ENST00000321253	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296011	ENST00000442868	ENSG00000075886	ENSG00000075886.11	ENST00000321253.7	PF03953	ENSP00000326042	ENSP00000326042.6
ENST00000442868.1	DUP	ENSG00000075886.9	ENST00000321253	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296011	ENST00000442868	ENSG00000075886	ENSG00000075886.11	ENST00000321253.7	PF00091	ENSP00000326042	ENSP00000326042.6
ENST00000523992.1	DUP	ENSG00000186523.9	ENST00000524571	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000303444	ENST00000523992	ENSG00000186523	ENSG00000186523.14	ENST00000524571.6	PF14904	ENSP00000432790	ENSP00000432790.1
ENST00000442409.1	PSSD	ENSG00000159658.5	ENST00000544071	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000311879	ENST00000442409	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000426535.1	deleted	.		Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ENST00000394552.2	PSSD	ENSG00000232119.2	ENST00000371315	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000232119	ENSG00000232119.8	ENST00000371315.3	PF17832	ENSP00000360365	ENSP00000360365.3
ENST00000394552.2	PSSD	ENSG00000232119.2	ENST00000371315	Tnx_1:Pol2_1:AC_1:TF_1	N/A	N/A	ENSG00000232119	ENSG00000232119.8	ENST00000371315.3	PF01472	ENSP00000360365	ENSP00000360365.3
ENST00000444241.1	PSSD	ENSG00000119689.9	ENST00000334220	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000295721	ENST00000444241	ENSG00000119689	ENSG00000119689.15	ENST00000334220.9	PF00198	ENSP00000335304	ENSP00000335304.4
