id	chr	start	end	strand	parent	fraction	identity	e-value	class	families
PGOHUM00000235883	HSCHR6_MHC	28994532	28995420	-	ENSP00000366380	0.94	0.586	0.0	Processed	PF00001;
PGOHUM00000235884	HSCHR6_MHC	29105729	29106620	-	ENSP00000244623	0.95	0.587	0.0	Processed	PF00001;
PGOHUM00000235885	HSCHR6_MHC	29236335	29237246	-	ENSP00000366380	0.94	0.543	0.0	Processed	PF00001;
PGOHUM00000235888	HSCHR6_MHC	29457133	29457535	-	ENSP00000346045	1.0	0.837	0.0	Processed	PF00833;
PGOHUM00000235889	HSCHR6_MHC	29505647	29506437	-	ENSP00000366331	0.7	0.414	5.99756E-43	Processed	PF00001;
PGOHUM00000235892	HSCHR6_MHC	29603973	29604253	-	ENSP00000405965	1.0	0.979	2.94273E-44	Processed	PF00240;
PGOHUM00000235900	HSCHR6_MHC	31499022	31499360	-	ENSP00000394670	0.94	0.894	0.0	Processed	PF00160;
PGOHUM00000235901	HSCHR6_MHC	31590214	31590484	-	ENSP00000309565	1.0	0.717	1.0E-11	Processed	PF02320;
PGOHUM00000235908	HSCHR6_MHC	33043282	33044309	-	ENSP00000387396	0.69	0.68	7.0E-36	Duplicated	PF00047;PF00993;PF07654;
PGOHUM00000235909	HSCHR6_MHC	33057112	33058204	-	ENSP00000372566	0.62	0.68	6.0E-20	Duplicated	PF02210;
PGOHUM00000235911	HSCHR6_MHC	33316724	33317416	-	ENSP00000363638	1.0	0.935	0.0	Processed	PF02230;
PGOHUM00000235912	HSCHR6_MHC	28699796	28700680	+	ENSP00000346067	1.0	0.881	0.0	Processed	PF00318;
PGOHUM00000235913	HSCHR6_MHC	28829197	28829825	+	ENSP00000307889	1.0	0.819	0.0	Processed	PF01294;
PGOHUM00000235914	HSCHR6_MHC	29068770	29069705	+	ENSP00000414527	1.0	0.994	0.0	Processed	PF00001;
PGOHUM00000235915	HSCHR6_MHC	29258584	29259469	+	ENSP00000304419	0.83	0.659	0.0	Processed	PF00001;
PGOHUM00000235919	HSCHR6_MHC	29521119	29522018	+	ENSP00000312403	0.96	0.573	0.0	Processed	PF00001;
PGOHUM00000235920	HSCHR6_MHC	29541800	29542724	+	ENSP00000373038	1.0	0.891	0.0	Processed	PF00001;
PGOHUM00000235922	HSCHR6_MHC	29550399	29550913	+	ENSP00000375730	0.86	0.761	7.0E-25	Processed	PF00572;
PGOHUM00000235923	HSCHR6_MHC	29760264	29760751	+	ENSP00000390017	0.99	0.62	9.0E-31	Processed	PF00129;
PGOHUM00000235926	HSCHR6_MHC	29794206	29796084	+	ENSP00000394198	0.9	0.81	0.0	Duplicated	PF00047;PF00129;PF06623;PF07654;
PGOHUM00000235927	HSCHR6_MHC	29802811	29803324	+	ENSP00000390851	0.37	0.63	2.0E-29	Duplicated	PF00047;PF00129;PF06623;PF07654;
PGOHUM00000235928	HSCHR6_MHC	29832660	29834771	+	ENSP00000394198	0.94	0.74	0.0	Duplicated	PF00047;PF00129;PF06623;PF07654;
PGOHUM00000235929	HSCHR6_MHC	29838543	29862202	+	ENSP00000390851	0.55	0.78	1.0E-39	Duplicated	PF00047;PF00129;PF06623;PF07654;
PGOHUM00000249918	HSCHR6_MHC	29910826	29911823	+	ENSP00000387698	0.94	0.99	0.0	Duplicated	PF00129;
PGOHUM00000235933	HSCHR6_MHC	30142849	30143285	+	ENSP00000387530	0.94	0.591	4.0E-15	Processed	PF00097;PF00643;
PGOHUM00000235935	HSCHR6_MHC	30390730	30392650	+	ENSP00000252229	0.83	0.73	6.0E-29	Duplicated	PF00047;PF00129;PF07654;
