	#Pseudogene_id	Biotype	Parent_gene	Parent_transcript	Activity_features	PseudoPipeID	EnsemblID	Gene stable ID	Gene stable ID version	Transcript stable ID version	Pfam ID	Protein stable ID	Protein stable ID version
18	ENST00000465689.1	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298351	ENST00000465689	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF05649	ENSP00000302051	ENSP00000302051.1
116	ENST00000373592.2	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298352	ENST00000373592	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF05649	ENSP00000302051	ENSP00000302051.1
129	ENST00000439199.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000302552	ENST00000439199	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
49	ENST00000456516.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000289968	ENST00000456516	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
36	ENST00000438210.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296292	ENST00000438210	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF03719	ENSP00000341885	ENSP00000341885.4
115	ENST00000373592.2	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298352	ENST00000373592	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF01431	ENSP00000302051	ENSP00000302051.1
17	ENST00000465689.1	DUP	ENSG00000171551.7	ENST00000304546	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000298351	ENST00000465689	ENSG00000171551	ENSG00000171551.12	ENST00000304546.6	PF01431	ENSP00000302051	ENSP00000302051.1
128	ENST00000439199.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000302552	ENST00000439199	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
35	ENST00000438210.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000296292	ENST00000438210	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
48	ENST00000456516.1	PSSD	ENSG00000140988.8	ENST00000343262	Tnx_1:Pol2_1:AC_1:TF_1	PGOHUM00000289968	ENST00000456516	ENSG00000140988	ENSG00000140988.16	ENST00000343262.9	PF00333	ENSP00000341885	ENSP00000341885.4
